name,category,weight
Hydro Flask Wide-Mouth Vacuum Water Bottle - 32 fl. oz.,Vacuum Bottles,399
Hydro Flask Wide-Mouth Vacuum Bottle - 40 fl. oz.,Vacuum Bottles,481
Hydro Flask Wide-Mouth Vacuum Bottle - 18 fl. oz.,Vacuum Bottles,314
Hydro Flask Coffee and Tea Flask - 20 fl. oz.,Camping Mugs,389
Hydro Flask Wide-Mouth Vacuum Bottle - 64 fl. oz.,Vacuum Bottles,765
Hydro Flask Standard-Mouth Vacuum Bottle - 21 fl. oz.,Vacuum Bottles,294
Hydro Flask Coffee and Tea Flask - 16 fl.oz.,Camping Mugs,334
REI Travel Umbrella,Umbrellas,453
Hydro Flask Coffee and Tea Flask - 12 fl. oz.,Camping Mugs,280
Nite Ize SpotLit LED Carabiner Light,Keychain Flashlights,17
Adventure Medical Kits Smart Travel First-Aid Kit,First-Aid Kits,481
REI Jumbo 54 Auto Umbrella,Umbrellas,481
Klean Kanteen Insulated Stainless-Steel Wide-Mouth Bottle with Loop-Top Cap - 16 fl. oz. - 2014,Vacuum Bottles,289
Klean Kanteen Stainless-Steel Classic Vacuum Bottle - 32 fl. oz.,Vacuum Bottles,422
Klean Kanteen Stainless-Steel Classic Vacuum Bottle - 20 fl. oz.,Vacuum Bottles,345
Zojirushi Slicksteel Stainless-Steel Vacuum Mug - 16 fl. oz.,Camping Mugs,255
Innate Craft Growler - 64 fl. oz.,Vacuum Bottles,850
Stanley Classic Vacuum Food Jar - 24 fl. oz.,Vacuum Bottles,907
REI Classic Vacuum Bottle - 34 fl. oz.,Vacuum Bottles,28
Hydro Flask Wide-Mouth Vacuum Bottle with Hydro Flip Lid - 18 fl. oz.,Camping Mugs,314
CamelBak Forge Vacuum Mug - 16 fl. oz.,Camping Mugs,354
Zojirushi Tuff Slim Vacuum Bottle - 0.5 Liter,Vacuum Bottles,453
Klean Kanteen Insulated Stainless-Steel Wide-Mouth Bottle with Loop-Top Cap - 12 fl. oz. - 2014,Vacuum Bottles,243
REI Compact Travel Manual Umbrella,Umbrellas,204
Klean Kanteen Insulated Stainless-Steel Wide-Mouth Bottle with Loop-Top Cap - 20 fl. oz.,Vacuum Bottles,334
Inova  Microlight STS Keychain Flashlight,Flashlights,14
REI Travel Vacuum Mug - 16 fl. oz.,Camping Mugs,349
Swiss Army Classic Knife,Pocket Knives,36
REI Therm-o-Compass,Compasses,9
Stanley Classic Vacuum Mug - 16 fl. oz.,Camping Mugs,413
REI Classic Vacuum Bottle - 17 fl. oz.,Vacuum Bottles,297
REI Vacuum Infuser Mug - 15 fl. oz. - 2014,Camping Mugs,311
REI Doppio Stainless-Steel Tumbler - 6 fl. oz.,Camping Cups,104
Swiss Army Classic SD Knife,Pocket Knives,36
Stanley Classic Vacuum Food Jar - 17 fl. oz.,Vacuum Bottles,538
REI Vacuum Infuser Mug - 15 fl. oz.,Camping Mugs,311
REI Travel Vacuum Mug - 20 fl. oz.,Camping Mugs,399
Swiss Army Classic SD Knife - 2013,Pocket Knives,36
Klean Kanteen Vacuum-Insulated Food Canister - 8 fl. oz.,Vacuum Bottles,294
REI Mini Compass,Compasses,8
REI MiiR Pint Cup,Camping Cups,170
CamelBak Forge Vacuum Mug - 12 fl. oz.,Camping Mugs,206
REI Recycled Tumbler - 12 fl. oz. - 2014,Camping Mugs,184
GSI Outdoors Glacier Vacuum Bottle - 34 fl. oz.,Vacuum Bottles,722
Stanley Vacuum Bottle - 16 fl. oz.,Vacuum Bottles,510
GSI Outdoors Glacier Vacuum Bottle - 17 fl. oz.,Vacuum Bottles,524
Klean Kanteen Vacuum-Insulated Food Canister - 16 fl. oz.,Vacuum Bottles,357
Klean Kanteen Insulated Stainless-Steel Wide-Mouth Bottle with Loop-Top Cap - 12 fl. oz.,Vacuum Bottles,243
Stanley Classic Heritage Vacuum Bottle - 2014,Vacuum Bottles,1406
Esbit Food Jug with Spoon - 2015,Vacuum Bottles,547
Stanley Vacuum Growler - 64 fl. oz.,Vacuum Bottles,989
Maglite Solitaire Key Ring Flashlight,Flashlights,24
Innate Craft Growler - 32 fl. oz.,Vacuum Bottles,623
REI Coffee Sleeve - 15 fl. oz.,Camping Mugs,201
Zojirushi Tuff Sports Vacuum Bottle - 1 Liter,Vacuum Bottles,566
Leatherman 6 Keychain Multi-Tool,Multi-Tools,14
Swiss Army Cadet Alox Knife,Pocket Knives,62
Sun Company Assorted WildLights,Flashlights,25
Seattle Sports DryDoc Coiled Lanyard - Package of 4,Lanyards,28
REI Vivo Vacuum-Sleeve Mug - 15 fl. oz. - 2014,Camping Mugs,368
REI Flip-Top Vacuum Bottle - 20 fl. oz.,Camping Mugs,405
Nite Ize DoohicKey Multi-Tool,Multi-Tools,11
Adventure Medical Kits Travel Medic First-Aid Kit,First-Aid Kits,56
Leatherman 4 Keychain Multi-Tool,Multi-Tools,17
Swiss Army Minichamp Knife,Pocket Knives,56
Princeton Tec Pulsar II LED Light,Flashlights,7
Swiss Army Signature Lite Knife,Pocket Knives,36
Klean Kanteen Insulated Stainless-Steel Wide-Mouth Bottle with Loop-Top Cap - 16 fl. oz.,Vacuum Bottles,289
REI Vivo Vacuum-Sleeve Mug - 15 fl. oz.,Camping Mugs,368
Zojirushi Stainless-Steel Vacuum Mug - 20 fl. oz.,Camping Mugs,255
Kiss My Face Triple Action Gel Toothpaste - 2 oz.,Camp Toothbrushes,56
Stanley Classic Vacuum Pint Glass - 16 fl. oz.,Camping Cups,362
Stanley SS Vacuum Trail Mug 12 fl. oz.,Vacuum Bottles,331
Leatherman 2 Keychain Multi-Tool,Multi-Tools,14
Hydro Flask PNW Wide-Mouth Bottle - 32 fl. oz.,Vacuum Bottles,399
